train_id,train_name,train_type,total_capacity,num_coaches,max_speed_kmph,fuel_type,operational_status,year_commissioned
TR0001,Rajdhani Express 1,Superfast,1000,16,111,Diesel,Active,2008
TR0002,Shatabdi Express 2,Intercity,900,18,84,Electric,Active,2012
TR0003,Chennai Mail 3,Intercity,500,20,105,Electric,Active,2023
TR0004,Delhi Express 4,Rajdhani,1200,12,177,Diesel,Active,2015
TR0005,Duronto Express 5,Rajdhani,600,24,123,Electric,Active,2008
TR0006,Bengaluru Express 6,Shatabdi,700,21,113,Electric,Active,2022
TR0007,Kolkata Mail 7,Superfast,800,13,150,Electric,Active,2016
TR0008,Vande Bharat 8,Garib Rath,1000,13,85,Diesel,Active,2007
TR0009,Bengaluru Express 9,Passenger,500,18,115,Electric,Active,2016
TR0010,Sampark Kranti 10,Mail,700,15,165,Electric,Active,2007
TR0011,Howrah Mail 11,Garib Rath,600,20,173,Diesel,Active,2017
TR0012,Kolkata Mail 12,Rajdhani,1000,23,151,Diesel,Active,2006
TR0013,Bengaluru Express 13,Passenger,500,24,120,Electric,Active,2011
TR0014,Kolkata Mail 14,Garib Rath,1000,17,107,Electric,Active,2019
TR0015,Jan Shatabdi 15,Mail,600,15,175,Electric,Active,2018
TR0016,Garib Rath 16,Garib Rath,700,15,97,Electric,Active,2006
TR0017,Duronto Express 17,Superfast,1000,14,167,Electric,Active,2017
TR0018,Chennai Mail 18,Duronto,800,20,112,Electric,Active,2008
TR0019,Delhi Express 19,Intercity,700,24,162,Electric,Active,2018
TR0020,Deccan Queen 20,Mail,500,23,172,Electric,Retired,2010
TR0021,Kolkata Mail 21,Intercity,500,22,118,Diesel,Active,2010
TR0022,Delhi Express 22,Intercity,900,12,156,Electric,Active,2008
TR0023,Kolkata Mail 23,Shatabdi,1200,24,119,Diesel,Active,2023
TR0024,Shatabdi Express 24,Superfast,1000,19,88,Diesel,Active,2020
TR0025,Duronto Express 25,Intercity,700,20,157,Electric,Under Maintenance,2022
TR0026,Mumbai Express 26,Passenger,700,18,165,Electric,Active,2021
TR0027,Shatabdi Express 27,Vande Bharat,600,15,88,Electric,Active,2022
TR0028,Chennai Mail 28,Passenger,600,12,89,Electric,Active,2006
TR0029,Shatabdi Express 29,Shatabdi,900,15,115,Electric,Active,2009
TR0030,Chennai Mail 30,Garib Rath,800,15,180,Electric,Active,2011
TR0031,Shatabdi Express 31,Superfast,1000,18,125,Electric,Active,2006
